datetime_scraped,event_url
2022-06-13 18:13:58.444235,http://www.ufcstats.com/event-details/c933d423ebdbbbdb
2022-06-13 18:13:58.445771,http://www.ufcstats.com/event-details/d3711d3784b76255
2022-06-13 18:13:58.446919,http://www.ufcstats.com/event-details/3f24c96753dbd9f9
2022-06-13 18:13:58.447818,http://www.ufcstats.com/event-details/669a3cb6e394f515
2022-06-13 18:13:58.458390,http://www.ufcstats.com/event-details/efaf544314bb5c2e
2022-06-13 18:13:58.499049,http://www.ufcstats.com/event-details/271fe91f4ba9d2c5
2022-06-13 18:13:58.499835,http://www.ufcstats.com/event-details/31ceaf0e670c1578
2022-06-13 18:13:58.527973,http://www.ufcstats.com/event-details/0e9869d712e81f8f
2022-06-13 18:13:58.534627,http://www.ufcstats.com/event-details/2ee09ec2a0695eb9
2022-06-13 18:13:58.539784,http://www.ufcstats.com/event-details/977081bc01197656
2022-06-13 18:13:58.540777,http://www.ufcstats.com/event-details/c7e9d15cfce52f1d
2022-06-13 18:13:58.543263,http://www.ufcstats.com/event-details/b361180739bed4b0
2022-06-13 18:13:58.544502,http://www.ufcstats.com/event-details/03688dc3c3af3ac1
2022-06-13 18:13:58.578956,http://www.ufcstats.com/event-details/1dab0d1d81dd06db
2022-06-13 18:13:58.582231,http://www.ufcstats.com/event-details/a54a35a670d8e852
2022-06-13 18:13:58.608540,http://www.ufcstats.com/event-details/445a98acb8985970
2022-06-13 18:13:58.621368,http://www.ufcstats.com/event-details/f70144caea5c4c80
2022-06-13 18:13:58.626117,http://www.ufcstats.com/event-details/46c8ec317aff28ac
2022-06-13 18:13:58.628620,http://www.ufcstats.com/event-details/f717b6002486f73f
2022-06-13 18:13:58.656270,http://www.ufcstats.com/event-details/13e62d766b709aa6
2022-06-13 18:13:58.658585,http://www.ufcstats.com/event-details/577ec7e108b94be3
2022-06-13 18:13:58.687347,http://www.ufcstats.com/event-details/13b2f59210dda9cc
2022-06-13 18:13:58.688316,http://www.ufcstats.com/event-details/baf942f4bcb09894
2022-06-13 18:13:58.696005,http://www.ufcstats.com/event-details/3fed746acfd026dd
2022-06-13 18:13:58.705289,http://www.ufcstats.com/event-details/ee5df903f80c6816
2022-06-13 18:13:58.706750,http://www.ufcstats.com/event-details/21b8a0f5c231096f
2022-06-13 18:13:58.711903,http://www.ufcstats.com/event-details/13c4313ed0f744f3
2022-06-13 18:13:58.733764,http://www.ufcstats.com/event-details/63b65af1c5cb02cb
2022-06-13 18:13:58.738998,http://www.ufcstats.com/event-details/de3ed2e152520c8d
2022-06-13 18:13:58.767688,http://www.ufcstats.com/event-details/a6c2f5381d575920
2022-06-13 18:13:58.770435,http://www.ufcstats.com/event-details/c1684f00c626f4c0
2022-06-13 18:13:58.777924,http://www.ufcstats.com/event-details/4604ab1de9058474
2022-06-13 18:13:58.786215,http://www.ufcstats.com/event-details/304fcd812f12c589
2022-06-13 18:13:58.791471,http://www.ufcstats.com/event-details/5ca158b1cc9cb242
2022-06-13 18:13:58.792567,http://www.ufcstats.com/event-details/2e04a3b4a2011b97
2022-06-13 18:13:58.820788,http://www.ufcstats.com/event-details/e7ec11096eac0282
2022-06-13 18:13:58.828608,http://www.ufcstats.com/event-details/2a6f8136da1e52c0
2022-06-13 18:13:58.857086,http://www.ufcstats.com/event-details/f341f9551ba744e2
2022-06-13 18:13:58.863436,http://www.ufcstats.com/event-details/a5c53b3ddb31cc7d
2022-06-13 18:13:58.868695,http://www.ufcstats.com/event-details/0aa92558424ced9e
2022-06-13 18:13:58.876303,http://www.ufcstats.com/event-details/bad28b7b34f334de
2022-06-13 18:13:58.881535,http://www.ufcstats.com/event-details/1d147d4163a6989b
2022-06-13 18:13:58.888834,http://www.ufcstats.com/event-details/91181b29be041f1c
2022-06-13 18:13:58.922061,http://www.ufcstats.com/event-details/df85d6ec3493d120
2022-06-13 18:13:58.923101,http://www.ufcstats.com/event-details/7269329bd87eb479
2022-06-13 18:13:58.939495,http://www.ufcstats.com/event-details/a24e080000fa7a35
2022-06-13 18:13:58.953799,http://www.ufcstats.com/event-details/33e33d51f289d2a1
2022-06-13 18:13:58.954597,http://www.ufcstats.com/event-details/597db668b01c442c
2022-06-13 18:13:58.968619,http://www.ufcstats.com/event-details/598a58db87b890ee
2022-06-13 18:13:58.976825,http://www.ufcstats.com/event-details/b9e871af730f826c
